Timestamp,Tree,Logger,WP (Bar),Psi,Psych
5/22/2021 9:54,1,1,27,-2.7,-3.15
5/22/2021 11:21,1,2,28,-2.8,-2.87
5/22/2021 11:28,2,1,21,-2.1,-1.7
5/22/2021 11:24,2,2,22,-2.2,-1.42
5/22/2021 11:32,3,1,25,-2.5,-3.43
5/22/2021 11:35,3,2,26,-2.6,-2.75
5/22/2021 10:28,4,1,32,-3.2,-2.93
5/22/2021 16:07,4,2,30,-3,-2.12
5/22/2021 16:10,5,1,27,-2.7,-2.68
5/22/2021 16:13,5,2,25,-2.5,-2.46
,6,1,,,
5/22/2021 16:27,6,2,27,-2.7,
5/22/2021 16:37,7,1,34,-3.4,-3.7
5/22/2021 16:39,7,2,33,-3.3,-3.56
5/23/2021 8:40,1,1,24,-2.4,-2.89
5/23/2021 8:41,1,2,24,-2.4,-3.73
5/23/2021 8:43,2,1,15,-1.5,-1.58
5/23/2021 8:44,2,2,18,-1.8,-1.68
5/23/2021 8:47,3,1,26,-2.6,-3.34
5/23/2021 8:48,3,2,28,-2.8,-2.5
5/23/2021 8:50,4,1,29,-2.9,-2.22
5/23/2021 9:28,4,2,24,-2.4,-3.2
5/23/2021 9:39,5,1,25,-2.5,-3.22
5/23/2021 9:40,5,2,26,-2.6,
5/23/2021 10:17,6,1,28,-2.8,
5/23/2021 10:24,6,2,31,-3.1,8.357
5/23/2021 10:40,7,1,29,-2.9,10.88
5/23/2021 10:41,7,2,29,-2.9,11.449
6/21/2021 10:45,1,1,31,-3.1,-4.86
6/21/2021 10:48,1,2,25,-2.5,-5.48
6/21/2021 10:52,2,1,36,-3.6,-3.44
6/21/2021 10:55,2,2,39,-3.9,-2.54
6/21/2021 13:03,3,1,44,-4.4,-6.53
6/21/2021 13:04,3,2,49,-4.9,-4.61
6/21/2021 13:09,4,1,46,-4.6,-4.68
6/21/2021 13:10,4,2,40,-4,-7.08
6/21/2021 13:20,5,1,43,-4.3,-7.44
,5,2,,,
6/21/2021 13:29,6,1,39,-3.9,-3.56
6/21/2021 13:30,6,2,39,-3.9,-4
6/21/2021 12:56,7,1,41,-4.1,-4.85
6/21/2021 12:57,7,2,44,-4.4,-5.26
6/22/2021 5:45,1,1,23,-2.3,-2.86
6/22/2021 5:46,1,2,23,-2.3,-3.17
6/22/2021 5:48,2,1,31,-3.1,-2.34
6/22/2021 5:49,2,2,30,-3,-0.84
6/22/2021 5:52,3,1,37,-3.7,-5.22
6/22/2021 5:53,3,2,35,-3.5,-3.57
6/22/2021 5:55,4,1,36,-3.6,-4.26
6/22/2021 5:56,4,2,39,-3.9,-4.49
6/22/2021 5:59,5,1,44,-4.4,-7.06
,5,2,,,
6/22/2021 6:00,6,1,39,-3.9,-3.17
6/22/2021 6:01,6,2,37,-3.7,
6/22/2021 6:03,7,1,37,-3.7,-3.8
6/22/2021 6:04,7,2,39,-3.9,-4.2
7/11/2021 10:11,1,1,38,-3.8,-5.01
7/11/2021 10:13,1,2,36,-3.6,-4.86
7/11/2021 10:07,2,1,29,-2.9,-3.07
7/11/2021 10:10,2,2,30,-3,-2.47
7/11/2021 10:20,3,1,43,-4.3,-5.53
7/11/2021 10:21,3,2,45,-4.5,
7/11/2021 10:22,4,1,46,-4.6,-5.15
7/11/2021 10:23,4,2,49,-4.9,-5.68
7/11/2021 10:36,5,1,44,-4.4,-7.89
,5,2,,,
7/11/2021 10:26,6,1,41,-4.1,
,6,2,,,
,7,1,,,
,7,2,,,
8/14/2021 11:17,1,1,22,-2.2,-2.29
8/14/2021 11:18,1,2,25,-2.5,-1.8
8/14/2021 11:21,2,1,24,-2.4,-3.32
8/14/2021 11:22,2,2,23,-2.3,-1.4
8/14/2021 11:24,3,1,22,-2.2,-2.72
8/14/2021 11:25,3,2,26,-2.6,-2.14
8/14/2021 11:27,4,1,24,-2.4,-2.09
8/14/2021 11:28,4,2,27,-2.7,-2.27
8/14/2021 11:30,5,1,28,-2.8,-2.51
8/14/2021 11:31,5,2,25,-2.5,
8/14/2021 11:34,6,1,26,-2.6,-2.38
8/14/2021 11:35,6,2,24,-2.4,-2.07
8/14/2021 11:37,7,1,25,-2.5,
8/14/2021 11:38,7,2,25,-2.5,-2.53
9/25/2021 13:27,1,1,28,-2.8,
9/25/2021 13:28,1,2,27,-2.7,
9/25/2021 13:31,2,1,31,-3.1,
9/25/2021 13:32,2,2,33,-3.3,
9/25/2021 13:34,3,1,35,-3.5,
9/25/2021 13:35,3,2,36,-3.6,
9/25/2021 13:38,4,1,35,-3.5,
9/25/2021 13:39,4,2,33,-3.3,
9/25/2021 13:40,5,1,41,-4.1,
9/25/2021 13:41,5,2,41,-4.1,
9/25/2021 13:43,6,1,35,-3.5,
9/25/2021 13:45,6,2,39,-3.9,
9/25/2021 13:48,7,1,39,-3.9,
9/25/2021 13:49,7,2,39,-3.9,
