Tree,Logger,st,en,Reason
7,2,06/04/2021 07:30:00,06/22/2021 12:30:00,Loss of contact
7,2,09/18/2021 14:30:00,09/18/2021 18:30:00,Unknown spike
7,1,09/18/2021 14:30:00,09/18/2021 18:30:00,Unknown spike
7,2,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
7,1,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
6,2,09/17/2021 07:00:00,09/25/2021 07:30:00,Loss of contact
6,2,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
6,1,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
6,2,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
6,1,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
6,2,10/20/2021 05:00:00,10/20/2021 09:00:00,Unknown spike
6,1,10/20/2021 05:00:00,10/20/2021 09:00:00,Unknown spike
5,2,09/17/2021 07:00:00,09/25/2021 07:30:00,Loss of contact
5,2,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
5,1,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
5,2,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
5,1,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
5,2,10/20/2021 05:00:00,10/20/2021 09:00:00,Unknown spike
5,1,10/20/2021 05:00:00,10/20/2021 09:00:00,Unknown spike
4,2,05/23/2021 07:00:00,06/22/2021 20:00:00,"Poor contact, very spiky"
4,2,07/07/2021 16:00:00,07/14/2021 16:00:00,Loss of contact
4,2,08/14/2021 15:30:00,08/19/2021 16:30:00,Loss of contact
4,2,09/18/2021 15:00:00,09/18/2021 15:30:00,Random point
4,2,10/07/2021 07:00:00,11/06/2021 15:00:00,"Poor contact, very spiky"
4,1,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
4,2,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
4,1,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
4,2,10/20/2021 05:00:00,10/20/2021 09:00:00,Unknown spike
4,1,10/20/2021 05:00:00,10/20/2021 09:00:00,Unknown spike
3,1,06/15/2021 12:30:00,06/21/2021 16:30:00,Loss of contact
3,2,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
3,1,10/16/2021 06:00:00,10/16/2021 09:30:00,Unknown spike
3,2,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
3,1,10/19/2021 04:00:00,10/19/2021 09:00:00,Unknown spike
3,2,10/20/2021 06:00:00,10/20/2021 09:00:00,Unknown spike
3,1,10/20/2021 06:00:00,10/20/2021 09:00:00,Unknown spike
3,1,11/05/2021 06:00:00,11/05/2021 09:00:00,Unknown spike
2,2,05/23/2021 15:30:00,06/21/2021 06:00:00,Loss of contact
2,2,07/14/2021 07:00:00,07/16/2021 03:30:00,"Poor contact, very spiky"
2,2,10/16/2021 06:00:00,10/16/2021 10:30:00,Unknown spike
2,2,10/19/2021 03:00:00,10/19/2021 11:00:00,Unknown spike
2,2,10/20/2021 05:00:00,10/20/2021 11:00:00,Unknown spike
2,2,11/05/2021 07:00:00,11/05/2021 07:30:00,Unknown spike
2,1,09/13/2021 13:00:00,09/24/2021 14:00:00,Loss of contact
1,1,06/21/2021 17:00:00,06/26/2021 15:00:00,"Poor contact, very spiky"
1,2,08/20/2021 19:30:00,09/24/2021 16:30:00,Loss of contact
1,1,10/03/2021 16:00:00,11/06/2021 15:00:00,Loss of contact
1,2,10/04/2021 11:00:00,11/06/2021 15:00:00,Loss of contact
